,Last Name,First Name,Affiliation,EIDs,Scopus Author ID,ORCID,Research Areas,Warnings
0,Abdel-Fattah,Mohamed,,,,,,no affiliation
1,Adeshina,Adetokunbo,,,,,,no affiliation
2,Afzal,Ayesha,,,,,,no affiliation
3,Afzal,Neelam,,,,,,no affiliation
4,Agbahovbe,Onome,,,,,,no affiliation
5,Agranovich,Eugene,,,,,,no affiliation
6,Ahmad,Nauman,,,,,,no affiliation
7,Ainsworth,Geoffrey,,,,,,no affiliation
8,Ali,Shaik,,,,,,no affiliation
9,Allen,Katie,,,,,,no affiliation
10,Anderson,Cameron,,,,,,no affiliation
11,Anwar,Muhammad,,,,,,no affiliation
12,Anyansi,Tochukwu,,,,,,no affiliation
13,Armstrong,Kimberly,,,,,,no affiliation
14,Au,Chi Hung,,,,,,no affiliation
15,Au,Raymond,,,,,,no affiliation
16,Austin,Jehannine,,,,,,no affiliation
17,Awe,Ayodeji,,,,,,no affiliation
18,Aydin,Cristina,,,,,,no affiliation
19,Azarbar,Ataa,,,,,,no affiliation
20,Azim,Hassan,,,,,,no affiliation
21,Baer,Susan,,,,,,no affiliation
22,Bailey,Anthony,,,,,,no affiliation
23,Balakrishnan,Pradeep,,,,,,no affiliation
24,Banno,Brian,,,,,,no affiliation
25,Bardell,Andrea,,,,,,no affiliation
26,Bates,Alan Thomas,,,,,,no affiliation
27,Batke,Adrienne,,,,,,no affiliation
28,Beasley,Clare Louise,,,,,,no affiliation
29,Beaumont,Charl,,,,,,no affiliation
30,Bell,Rachel,,,,,,no affiliation
31,Benning,Tony,,,,,,no affiliation
32,Bhalla,Rishi,,,,,,no affiliation
33,Bhasin,Mani,,,,,,no affiliation
34,Bilsker,Daniel,,,,,,no affiliation
35,Birmingham,Carl Laird,,,,,,no affiliation
